country_code,country_name,population,continent,gni_total,top10_share,deaths_violence,trust,gni_per_capita
NIC,Nicaragua,6223000.0,North America,11761470000.0,37.5,2.0344968478646908,,1890.0
NLD,Netherlands,16938000.0,Europe,843681780000.0,23.3,0.0960244535824308,66.1757,49810.0
NOR,Norway,5200000.0,Europe,484172000000.0,21.6,0.0927693915029379,,93110.0
NPL,Nepal,27015000.0,Asia,21071700000.0,26.4,0.2661641868422273,,780.0
NRU,Nauru,10000.0,Oceania,113900000.0,,,,11390.0
NZL,New Zealand,4615000.0,Oceania,187553600000.0,,0.182805563009007,56.22733,40640.0
OMN,Oman,4267000.0,Asia,74459150000.0,,0.2157577021478527,,17450.0
PAK,Pakistan,199427008.0,Asia,251278030080.0,26.0,0.6582317052004083,23.54949,1260.0
PAN,Panama,3968000.0,North America,48409600000.0,39.3,3.371020438162643,,12200.0
PER,Peru,30471000.0,South America,193186140000.0,33.4,0.8363617165028154,8.21577,6340.0
PHL,Philippines,102113000.0,Asia,345141940000.0,31.3,2.3818341253106525,2.83333,3380.0
PLW,Palau,18000.0,Oceania,285480000.0,,,,15860.0
PNG,Papua New Guinea,8108000.0,Oceania,23188880000.0,,1.1694433207322592,,2860.0
POL,Poland,38034000.0,Europe,506232540000.0,25.2,0.1688761742206716,22.25673,13310.0
PRI,Puerto Rico,3382000.0,North America,65678440000.0,,2.2140108262796563,,19420.0
PRT,Portugal,10368000.0,Europe,211921920000.0,27.4,0.1245236494870233,,20440.0
PRY,Paraguay,6689000.0,South America,37592180000.0,36.8,2.5799795038718174,,5620.0
PSE,West Bank and Gaza,4529000.0,Asia,16621430000.0,27.2,1.7975933021742254,15.8,3670.0
PYF,French Polynesia,273000.0,Oceania,,,,,
QAT,Qatar,2566000.0,Asia,188447040000.0,,0.5709195753460548,21.4151,73440.0
ROU,Romania,19925000.0,Europe,191280000000.0,21.6,0.1552427728693949,7.07138,9600.0
RUS,Russian Federation,144984992.0,Europe,1707923205760.0,29.7,1.179290519716217,27.73516,11780.0
RWA,Rwanda,11369000.0,Africa,8526750000.0,43.2,0.5421775891407802,16.63392,750.0
SAU,Saudi Arabia,31718000.0,Asia,752033780000.0,,0.3186115821297137,,23710.0
SDN,Sudan,38903000.0,Africa,65746070000.0,,0.2043184889032334,,1690.0
SEN,Senegal,14578000.0,Africa,19242960000.0,31.0,0.1683175870624094,,1320.0
SGP,Singapore,5592000.0,Asia,297270720000.0,,0.130112733650757,38.51626,53160.0
SLB,Solomon Islands,603000.0,Oceania,1284390000.0,29.3,0.8045896844248621,,2130.0
SLE,Sierra Leone,7172000.0,Africa,3944600000.0,26.9,0.1507936913709203,,550.0
SLV,El Salvador,6325000.0,North America,21758000000.0,32.0,8.306099444324564,,3440.0
SMR,San Marino,33000.0,Europe,,,,,
SOM,Somalia,13797000.0,Africa,,,0.9588845627696896,,
SRB,Serbia,8877000.0,Europe,52906920000.0,22.9,0.1763040189404956,,5960.0
SSD,South Sudan,10716000.0,Africa,11680440000.0,,0.7943303540854463,,1090.0
STP,Sao Tome and Principe,199000.0,Africa,328350000.0,24.2,0.9688012027355144,,1650.0
SUR,Suriname,559000.0,South America,4857710000.0,,1.2072452625077514,,8690.0
SVK,Slovak Republic,5436000.0,Europe,96054120000.0,20.3,0.2493400362088026,,17670.0
SVN,Slovenia,2071000.0,Europe,46079750000.0,21.1,0.1018822897674133,19.98124,22250.0
SWE,Sweden,9765000.0,Europe,570471300000.0,21.5,0.1310382460340957,63.758390000000006,58420.0
SWZ,Eswatini,1104000.0,Africa,4195200000.0,,2.6042202536225307,,3800.0
SXM,Sint Maarten (Dutch part),40000.0,North America,1182400000.0,,,,29560.0
SYC,Seychelles,95000.0,Africa,1331900000.0,39.9,0.8246326341697209,,14020.0
SYR,Syrian Arab Republic,17997000.0,Asia,,,0.2962640126287994,,
TCA,Turks and Caicos Islands,36000.0,North America,919080000.0,,,,25530.0
TCD,Chad,14111000.0,Africa,12417680000.0,32.4,0.597881404253964,,880.0
TGO,Togo,7323000.0,Africa,4686720000.0,31.6,0.7965749233849501,,640.0
THA,Thailand,68715000.0,Asia,392362650000.0,29.2,0.9088470560006052,32.573840000000004,5710.0
TJK,Tajikistan,8454000.0,Asia,10567500000.0,26.4,0.5571822906403209,,1250.0
TKM,Turkmenistan,5565000.0,Asia,39121950000.0,,0.6159696395370277,,7030.0
TLS,Timor-Leste,1196000.0,Asia,2631200000.0,,0.4872316259808727,,2200.0
TON,Tonga,101000.0,Oceania,448440000.0,,0.3249431525354333,,4440.0
TTO,Trinidad and Tobago,1370000.0,North America,26002600000.0,,2.7832800323192664,3.2032,18980.0
TUN,Tunisia,11180000.0,Africa,44272800000.0,27.0,0.1011573490348626,15.518670000000002,3960.0
TUR,Turkey,78529000.0,Asia,944703870000.0,31.6,0.4247955959132447,12.00762,12030.0
TUV,Tuvalu,11000.0,Oceania,59840000.0,30.7,,,5440.0
TZA,Tanzania,51483000.0,Africa,50453340000.0,31.0,0.8904983711113652,,980.0
